CustomerID,TotalSpend,TransactionFrequency,TotalItems,ProductVariety,Recency_Days,AvgTransactionValue,AvgItemsPerTransaction,Cluster
12346.0,372.86,11,70,26,164,33.89636363636364,6.363636363636363,1
12347.0,1323.32,2,828,70,2,661.66,414.0,3
12348.0,222.16,1,373,20,73,222.16,373.0,3
12349.0,2671.14,3,993,90,42,890.38,331.0,3
12351.0,300.93,1,261,21,10,300.93,261.0,3
12352.0,343.8,2,188,18,10,171.9,94.0,3
12353.0,317.76,1,192,20,43,317.76,192.0,3
12355.0,488.21,1,303,22,202,488.21,303.0,1
12356.0,3560.3,3,1825,68,15,1186.7666666666667,608.3333333333334,3
12357.0,12079.99,2,3879,165,23,6039.995,1939.5,0
12358.0,2719.01,3,831,52,10,906.3366666666667,277.0,3
12359.0,2563.36,6,1130,110,60,427.2266666666667,188.33333333333334,3
12360.0,1590.83,5,1294,74,14,318.166,258.8,3
12361.0,321.35,3,144,14,97,107.11666666666667,48.0,3
12362.0,130.0,1,1,1,373,130.0,1.0,1
12366.0,500.24,1,296,3,268,500.24,296.0,1
12368.0,917.7,1,330,18,263,917.7,330.0,1
12369.0,1791.15,3,1241,90,48,597.0500000000001,413.6666666666667,3
12370.0,774.62,3,252,33,259,258.20666666666665,84.0,1
12371.0,2179.42,3,845,91,44,726.4733333333334,281.6666666666667,3
12373.0,763.0500000000001,2,319,31,259,381.52500000000003,159.5,1
12374.0,2246.29,3,1020,47,56,748.7633333333333,340.0,3
12376.0,503.15,2,240,11,24,251.575,120.0,3
12377.0,1798.2,2,1161,75,16,899.1,580.5,3
12378.0,1407.7,1,787,82,197,1407.7,787.0,1
12379.0,767.98,2,408,37,57,383.99,204.0,3
12380.0,6951.49,7,2228,119,100,993.0699999999999,318.2857142857143,3
12385.0,1938.4,1,612,65,14,1938.4,612.0,3
12386.0,258.9,1,214,8,1,258.9,214.0,3
12387.0,143.94,1,134,9,50,143.94,134.0,3
12388.0,1120.45,2,539,36,80,560.225,269.5,3
12389.0,1433.33,3,614,41,37,477.77666666666664,204.66666666666666,3
12391.0,2285.18,5,911,159,99,457.03599999999994,182.2,0
12392.0,234.75000000000003,1,73,7,226,234.75000000000003,73.0,1
12393.0,816.85,2,495,38,17,408.425,247.5,3
12395.0,2048.64,4,1615,83,6,512.16,403.75,3
12396.0,931.43,1,591,65,309,931.43,591.0,1
12399.0,853.65,3,1020,40,20,284.55,340.0,3
12400.0,205.25,1,91,11,49,205.25,91.0,3
12402.0,1031.3,5,490,40,27,206.26,98.0,3
12403.0,591.6600000000001,1,164,4,156,591.6600000000001,164.0,1
12404.0,63.24,1,1,1,317,63.24,1.0,1
12406.0,2975.06,3,1598,44,34,991.6866666666666,532.6666666666666,3
12408.0,1452.22,3,820,41,20,484.0733333333333,273.3333333333333,3
12409.0,12346.62,4,7592,125,55,3086.655,1898.0,3
12410.0,320.38,1,130,14,137,320.38,130.0,3
12411.0,346.9,1,138,22,44,346.9,138.0,3
12412.0,1370.05,3,1168,50,37,456.68333333333334,389.3333333333333,3
12413.0,241.35,1,33,13,37,241.35,33.0,3
12414.0,390.0,3,195,9,98,130.0,65.0,3
12415.0,19543.84,7,14073,169,10,2791.977142857143,2010.4285714285713,0
12416.0,202.56,1,132,11,291,202.56,132.0,1
12417.0,3148.31,11,1332,144,45,286.21,121.0909090909091,0
12418.0,1352.62,3,681,61,48,450.8733333333333,227.0,3
12419.0,503.01,2,231,23,20,251.505,115.5,3
12421.0,291.56,2,168,18,50,145.78,84.0,3
12422.0,4428.24,14,2226,109,29,316.30285714285714,159.0,0
12423.0,763.08,2,454,38,22,381.54,227.0,3
12424.0,1579.07,2,1285,59,57,789.535,642.5,3
12425.0,964.21,1,651,55,83,964.21,651.0,3
12426.0,762.48,1,326,47,297,762.48,326.0,1
12427.0,303.5,1,79,10,6,303.5,79.0,3
12429.0,3735.51,5,1787,70,0,747.1020000000001,357.4,3
12431.0,4370.52,13,1811,131,8,336.1938461538462,139.30769230769232,0
12433.0,7205.39,5,6045,163,1,1441.078,1209.0,0
12434.0,297.29,1,138,20,16,297.29,138.0,3
12435.0,6096.04,4,2903,68,31,1524.01,725.75,3
12437.0,7731.99,21,5078,216,30,368.19,241.8095238095238,0
12439.0,1142.88,2,478,69,317,571.44,239.0,1
12440.0,859.2,2,331,21,97,429.6,165.5,3
12441.0,173.55,1,121,11,1,173.55,121.0,3
12443.0,485.31,1,182,21,367,485.31,182.0,1
12445.0,301.58000000000004,1,144,20,55,301.58000000000004,144.0,3
12449.0,768.6,2,729,10,45,384.3,364.5,3
12450.0,490.32,3,314,25,34,163.44,104.66666666666667,3
12451.0,3634.36,3,2784,147,98,1211.4533333333334,928.0,3
12454.0,13151.44,4,6697,9,30,3287.86,1674.25,3
12455.0,3413.09,4,1213,121,80,853.2725,303.25,3
12457.0,632.68,1,251,22,70,632.68,251.0,3
12458.0,830.09,2,480,44,62,415.045,240.0,3
12459.0,454.36,1,258,23,240,454.36,258.0,1
12460.0,326.65,1,170,18,91,326.65,170.0,3
12466.0,56.73,1,1,1,317,56.73,1.0,1
12467.0,132.8,1,129,9,58,132.8,129.0,3
12468.0,2941.2,3,1835,102,161,980.4,611.6666666666666,1
12469.0,3070.54,2,2552,76,157,1535.27,1276.0,1
12470.0,211.95,1,95,23,324,211.95,95.0,1
12471.0,20129.54,49,8658,159,9,410.8069387755102,176.69387755102042,0
12472.0,11308.48,13,7202,312,4,869.8830769230769,554.0,0
12474.0,5048.66,13,3107,197,13,388.35846153846154,239.0,0
12475.0,426.26,1,236,25,44,426.26,236.0,3
12476.0,7267.49,12,3223,225,31,605.6241666666666,268.5833333333333,0
12477.0,7056.63,3,2466,209,34,2352.21,822.0,0
12480.0,2183.2200000000003,3,1245,79,34,727.7400000000001,415.0,3
12481.0,6765.07,6,3949,139,0,1127.5116666666665,658.1666666666666,0
12482.0,23691.4,29,27042,42,211,816.944827586207,932.4827586206897,0
12483.0,2612.2000000000003,11,1050,35,13,237.4727272727273,95.45454545454545,3
12484.0,1826.78,6,1079,110,118,304.4633333333333,179.83333333333334,3
12485.0,708.1,1,414,34,164,708.1,414.0,1
12486.0,1037.28,1,523,49,66,1037.28,523.0,3
12487.0,285.29999999999995,1,174,2,365,285.29999999999995,174.0,1
12490.0,4405.71,11,2842,117,13,400.5190909090909,258.3636363636364,0
12492.0,452.0,1,252,22,38,452.0,252.0,3
12494.0,626.77,3,281,28,0,208.92333333333332,93.66666666666667,3
12495.0,357.4,1,130,17,275,357.4,130.0,1
12496.0,45.34,2,30,10,255,22.67,15.0,1
12497.0,5205.400000000001,2,4449,30,35,2602.7000000000003,2224.5,3
12499.0,393.72,1,302,27,195,393.72,302.0,1
12500.0,1697.39,8,699,61,70,212.17375,87.375,3
12503.0,1126.0,1,561,2,219,1126.0,561.0,1
12504.0,297.0,2,368,8,52,148.5,184.0,3
12505.0,955.2,1,324,42,43,955.2,324.0,3
12507.0,539.25,1,362,28,219,539.25,362.0,1
12510.0,4195.45,7,1696,85,94,599.35,242.28571428571428,3
12511.0,3084.02,1,1753,190,63,3084.02,1753.0,0
12514.0,580.08,1,400,33,276,580.08,400.0,1
12516.0,1336.56,2,1077,38,65,668.28,538.5,3
12519.0,385.7,1,212,22,111,385.7,212.0,3
12523.0,2562.58,12,1398,105,9,213.54833333333332,116.5,0
12524.0,6640.39,9,3479,65,23,737.8211111111111,386.55555555555554,3
