CustomerID,TotalSpend,TransactionFrequency,TotalItems,ProductVariety
12346.0,372.86,11,70,26
12347.0,1323.32,2,828,70
12348.0,222.16,1,373,20
12349.0,2671.14,3,993,90
12351.0,300.93,1,261,21
12352.0,343.8,2,188,18
12353.0,317.76,1,192,20
12355.0,488.21000000000004,1,303,22
12356.0,3560.3,3,1825,68
12357.0,12079.99,2,3879,165
12358.0,2719.01,3,831,52
12359.0,2563.36,6,1130,110
12360.0,1590.83,5,1294,74
12361.0,321.35,3,144,14
12362.0,130.0,1,1,1
12366.0,500.24,1,296,3
12368.0,917.6999999999999,1,330,18
12369.0,1791.15,3,1241,90
12370.0,774.62,3,252,33
12371.0,2179.42,3,845,91
12373.0,763.0500000000001,2,319,31
12374.0,2246.29,3,1020,47
12376.0,503.15,2,240,11
12377.0,1798.2,2,1161,75
12378.0,1407.7,1,787,82
12379.0,767.98,2,408,37
12380.0,6951.49,7,2228,119
12385.0,1938.4,1,612,65
12386.0,258.9,1,214,8
12387.0,143.94,1,134,9
12388.0,1120.45,2,539,36
12389.0,1433.33,3,614,41
12391.0,2285.18,5,911,159
12392.0,234.75000000000003,1,73,7
12393.0,816.85,2,495,38
12395.0,2048.64,4,1615,83
12396.0,931.43,1,591,65
12399.0,853.65,3,1020,40
12400.0,205.25,1,91,11
12402.0,1031.3,5,490,40
12403.0,591.6600000000001,1,164,4
12404.0,63.24,1,1,1
12406.0,2975.06,3,1598,44
12408.0,1452.22,3,820,41
12409.0,12346.619999999999,4,7592,125
12410.0,320.38,1,130,14
12411.0,346.9,1,138,22
12412.0,1370.05,3,1168,50
12413.0,241.35,1,33,13
12414.0,390.0,3,195,9
12415.0,19543.84,7,14073,169
12416.0,202.56,1,132,11
12417.0,3148.31,11,1332,144
12418.0,1352.62,3,681,61
12419.0,503.01,2,231,23
12421.0,291.56,2,168,18
12422.0,4428.24,14,2226,109
12423.0,763.08,2,454,38
12424.0,1579.07,2,1285,59
12425.0,964.21,1,651,55
12426.0,762.48,1,326,47
12427.0,303.5,1,79,10
12429.0,3735.51,5,1787,70
12431.0,4370.52,13,1811,131
12433.0,7205.39,5,6045,163
12434.0,297.29,1,138,20
12435.0,6096.04,4,2903,68
12437.0,7731.99,21,5078,216
12439.0,1142.88,2,478,69
12440.0,859.2,2,331,21
12441.0,173.55,1,121,11
12443.0,485.31,1,182,21
12445.0,301.58000000000004,1,144,20
12449.0,768.6,2,729,10
12450.0,490.32,3,314,25
12451.0,3634.36,3,2784,147
12454.0,13151.44,4,6697,9
12455.0,3413.09,4,1213,121
12457.0,632.68,1,251,22
12458.0,830.09,2,480,44
12459.0,454.36,1,258,23
12460.0,326.65,1,170,18
12466.0,56.73,1,1,1
12467.0,132.8,1,129,9
12468.0,2941.2,3,1835,102
12469.0,3070.54,2,2552,76
